Date,Adjusted
11/12/2016,16
18/12/2016,15
25/12/2016,13
01/01/2017,15
08/01/2017,16
15/01/2017,14
22/01/2017,16
29/01/2017,18
05/02/2017,17
12/02/2017,17
19/02/2017,16
26/02/2017,20
05/03/2017,18
12/03/2017,16
19/03/2017,16
26/03/2017,17
02/04/2017,16
09/04/2017,20
16/04/2017,15
23/04/2017,17
30/04/2017,17
07/05/2017,17
14/05/2017,17
21/05/2017,16
28/05/2017,15
04/06/2017,16
11/06/2017,17
18/06/2017,17
25/06/2017,15
02/07/2017,14
09/07/2017,16
16/07/2017,17
23/07/2017,18
30/07/2017,18
06/08/2017,17
13/08/2017,16
20/08/2017,15
27/08/2017,15
03/09/2017,14
10/09/2017,17
17/09/2017,17
24/09/2017,17
01/10/2017,21
08/10/2017,18
15/10/2017,18
22/10/2017,18
29/10/2017,19
05/11/2017,20
12/11/2017,20
19/11/2017,16
26/11/2017,20
03/12/2017,21
10/12/2017,20
17/12/2017,20
24/12/2017,17
31/12/2017,21
07/01/2018,22
14/01/2018,22
21/01/2018,22
28/01/2018,25
04/02/2018,31
11/02/2018,22
18/02/2018,19
25/02/2018,21
04/03/2018,20
11/03/2018,19
18/03/2018,22
25/03/2018,21
01/04/2018,21
08/04/2018,20
15/04/2018,19
22/04/2018,19
29/04/2018,19
06/05/2018,19
13/05/2018,19
20/05/2018,18
27/05/2018,16
03/06/2018,19
10/06/2018,19
17/06/2018,19
24/06/2018,18
01/07/2018,15
08/07/2018,18
15/07/2018,18
22/07/2018,24
29/07/2018,22
05/08/2018,21
12/08/2018,20
19/08/2018,20
26/08/2018,21
02/09/2018,24
09/09/2018,22
16/09/2018,23
23/09/2018,22
30/09/2018,24
07/10/2018,24
14/10/2018,23
21/10/2018,23
28/10/2018,24
04/11/2018,22
11/11/2018,21
18/11/2018,19
25/11/2018,20
02/12/2018,22
09/12/2018,20
16/12/2018,23
23/12/2018,21
30/12/2018,20
06/01/2019,22
13/01/2019,22
20/01/2019,19
27/01/2019,23
03/02/2019,22
10/02/2019,22
17/02/2019,21
24/02/2019,21
03/03/2019,21
10/03/2019,24
17/03/2019,23
24/03/2019,21
31/03/2019,21
07/04/2019,22
14/04/2019,20
21/04/2019,22
28/04/2019,22
05/05/2019,23
12/05/2019,24
19/05/2019,21
26/05/2019,18
02/06/2019,20
09/06/2019,20
16/06/2019,21
23/06/2019,20
30/06/2019,18
07/07/2019,19
14/07/2019,20
21/07/2019,21
28/07/2019,21
04/08/2019,23
11/08/2019,24
18/08/2019,21
25/08/2019,20
01/09/2019,18
08/09/2019,21
15/09/2019,20
22/09/2019,20
29/09/2019,19
06/10/2019,19
13/10/2019,19
20/10/2019,20
27/10/2019,22
03/11/2019,23
10/11/2019,21
17/11/2019,22
24/11/2019,18
01/12/2019,20
08/12/2019,20
15/12/2019,21
22/12/2019,18
29/12/2019,19
05/01/2020,24
12/01/2020,24
19/01/2020,22
26/01/2020,26
02/02/2020,29
09/02/2020,26
16/02/2020,25
23/02/2020,39
01/03/2020,36
08/03/2020,61
15/03/2020,66
22/03/2020,57
29/03/2020,45
05/04/2020,42
12/04/2020,43
19/04/2020,44
26/04/2020,43
03/05/2020,40
10/05/2020,37
17/05/2020,39
24/05/2020,36
31/05/2020,41
07/06/2020,47
14/06/2020,38
21/06/2020,35
28/06/2020,34
05/07/2020,39
12/07/2020,39
19/07/2020,39
26/07/2020,41
02/08/2020,40
09/08/2020,37
16/08/2020,37
23/08/2020,38
30/08/2020,43
06/09/2020,33
13/09/2020,35
20/09/2020,34
27/09/2020,31
04/10/2020,31
11/10/2020,31
18/10/2020,30
25/10/2020,32
01/11/2020,31
08/11/2020,41
15/11/2020,41
22/11/2020,39
29/11/2020,42
06/12/2020,43
13/12/2020,41
20/12/2020,36
27/12/2020,36
03/01/2021,45
10/01/2021,52
17/01/2021,45
24/01/2021,100
31/01/2021,78
07/02/2021,63
14/02/2021,50
21/02/2021,57
28/02/2021,52
07/03/2021,51
14/03/2021,47
21/03/2021,41
28/03/2021,38
04/04/2021,38
11/04/2021,40
18/04/2021,39
25/04/2021,37
02/05/2021,37
09/05/2021,38
16/05/2021,36
23/05/2021,39
30/05/2021,40
06/06/2021,41
13/06/2021,37
20/06/2021,36
27/06/2021,34
04/07/2021,31
11/07/2021,33
18/07/2021,34
25/07/2021,34
01/08/2021,34
08/08/2021,34
15/08/2021,32
22/08/2021,32
29/08/2021,31
05/09/2021,29
12/09/2021,29
19/09/2021,31
26/09/2021,29
03/10/2021,25
10/10/2021,22
17/10/2021,25
24/10/2021,27
31/10/2021,28
07/11/2021,29
14/11/2021,28
21/11/2021,23
28/11/2021,27
05/12/2021,27
